[2026-07-29T15:30:31.886+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-07-29T15:30:31.892+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: vienna_mobility_weather_pipeline.extract_and_load_api_data scheduled__2026-07-28T00:00:00+00:00 [queued]>
[2026-07-29T15:30:31.894+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: vienna_mobility_weather_pipeline.extract_and_load_api_data scheduled__2026-07-28T00:00:00+00:00 [queued]>
[2026-07-29T15:30:31.894+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 3
[2026-07-29T15:30:31.898+0000] {taskinstance.py:2879} INFO - Executing <Task(BashOperator): extract_and_load_api_data> on 2026-07-28 00:00:00+00:00
[2026-07-29T15:30:31.901+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=187) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2026-07-29T15:30:31.901+0000] {standard_task_runner.py:72} INFO - Started process 189 to run task
[2026-07-29T15:30:31.902+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'vienna_mobility_weather_pipeline', 'extract_and_load_api_data', 'scheduled__2026-07-28T00:00:00+00:00', '--job-id', '8', '--raw', '--subdir', 'DAGS_FOLDER/vienna_transit_pipeline/vienna_pipeline_dag.py', '--cfg-path', '/tmp/tmpto_xl5so']
[2026-07-29T15:30:31.902+0000] {standard_task_runner.py:105} INFO - Job 8: Subtask extract_and_load_api_data
[2026-07-29T15:30:31.918+0000] {task_command.py:467} INFO - Running <TaskInstance: vienna_mobility_weather_pipeline.extract_and_load_api_data scheduled__2026-07-28T00:00:00+00:00 [running]> on host ***-worker
[2026-07-29T15:30:31.940+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='data_engineer' AIRFLOW_CTX_DAG_ID='vienna_mobility_weather_pipeline' AIRFLOW_CTX_TASK_ID='extract_and_load_api_data' AIRFLOW_CTX_EXECUTION_DATE='2026-07-28T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-28T00:00:00+00:00'
[2026-07-29T15:30:31.941+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2026-07-29T15:30:31.941+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2026-07-29T15:30:31.941+0000] {logging_mixin.py:190} INFO - Current task name:extract_and_load_api_data state:running start_date:2026-07-29 15:30:31.892284+00:00
[2026-07-29T15:30:31.941+0000] {logging_mixin.py:190} INFO - Dag name:vienna_mobility_weather_pipeline and current dag run status:running
[2026-07-29T15:30:31.941+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-07-29T15:30:31.941+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-07-29T15:30:31.942+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'export GOOGLE_APPLICATION_CREDENTIALS="/opt/***/dags/vienna_transit_pipeline/service_account_key.json" && python3 /opt/***/dags/vienna_transit_pipeline/extract_and_load.py']
[2026-07-29T15:30:31.945+0000] {subprocess.py:86} INFO - Output:
[2026-07-29T15:30:44.882+0000] {subprocess.py:93} INFO - Building U-Bahn station list from official Wiener Linien data...
[2026-07-29T15:30:44.884+0000] {subprocess.py:93} INFO -   -> Resolved 5 numeric line IDs for MeansOfTransport=ptMetro.
[2026-07-29T15:30:44.884+0000] {subprocess.py:93} INFO -   -> Found 222 U-Bahn platform RBLs.
[2026-07-29T15:30:44.884+0000] {subprocess.py:93} INFO - Initializing full-network extraction with monitoring logs...
[2026-07-29T15:30:44.885+0000] {subprocess.py:93} INFO -     [Warning] Request failed (Attempt 1/3) for URL: https://www.wienerlinien.at/ogd_realtime/monitor?rbl=4101&rbl=4102&rbl=4103&rbl=4104&rbl=4105&rbl=4106&rbl=4107&rbl=4108&rbl=4109&rbl=4110&rbl=4111&rbl=4112&rbl=4113&rbl=4114&rbl=4115&rbl=4116&rbl=4117&rbl=4118&rbl=4119&rbl=4120&rbl=4121&rbl=4122&rbl=4123&rbl=4124&rbl=4125. Error: 502 Server Error: Proxy Error for url: https://www.wienerlinien.at/ogd_realtime/monitor?rbl=4101&rbl=4102&rbl=4103&rbl=4104&rbl=4105&rbl=4106&rbl=4107&rbl=4108&rbl=4109&rbl=4110&rbl=4111&rbl=4112&rbl=4113&rbl=4114&rbl=4115&rbl=4116&rbl=4117&rbl=4118&rbl=4119&rbl=4120&rbl=4121&rbl=4122&rbl=4123&rbl=4124&rbl=4125
[2026-07-29T15:30:44.885+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Südtiroler Platz. Delay: 38.0 seconds.
[2026-07-29T15:30:44.886+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Donauinsel. Delay: -52.0 seconds.
[2026-07-29T15:30:44.886+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Nestroyplatz. Delay: -12.0 seconds.
[2026-07-29T15:30:44.886+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Reumannplatz. Delay: -12.0 seconds.
[2026-07-29T15:30:44.887+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Kaisermühlen-VIC. Delay: 58.0 seconds.
[2026-07-29T15:30:44.887+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Stephansplatz. Delay: -52.0 seconds.
[2026-07-29T15:30:44.888+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Alte Donau. Delay: 11.0 seconds.
[2026-07-29T15:30:44.888+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Taubstummengasse. Delay: -2.0 seconds.
[2026-07-29T15:30:44.888+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Keplerplatz. Delay: -8.0 seconds.
[2026-07-29T15:30:44.888+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Praterstern. Delay: -16.0 seconds.
[2026-07-29T15:30:44.889+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Schwedenplatz. Delay: -38.0 seconds.
[2026-07-29T15:30:44.889+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Karlsplatz. Delay: -40.0 seconds.
[2026-07-29T15:30:44.889+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Vorgartenstraße. Delay: 17.0 seconds.
[2026-07-29T15:30:44.889+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Alaudagasse at Stephansplatz. Delay: 78.0 seconds.
[2026-07-29T15:30:44.889+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Oberlaa at Praterstern. Delay: 88.0 seconds.
[2026-07-29T15:30:44.890+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Oberlaa at Südtiroler Platz. Delay: -22.0 seconds.
[2026-07-29T15:30:44.890+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Oberlaa at Kaisermühlen-VIC. Delay: -21.0 seconds.
[2026-07-29T15:30:44.890+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Alaudagasse at Vorgartenstraße. Delay: 24.0 seconds.
[2026-07-29T15:30:44.890+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Alaudagasse at Karlsplatz. Delay: 46.0 seconds.
[2026-07-29T15:30:44.890+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Oberlaa at Nestroyplatz. Delay: 87.0 seconds.
[2026-07-29T15:30:44.890+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Alaudagasse at Kagran. Delay: -3.0 seconds.
[2026-07-29T15:30:44.891+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Oberlaa at Donauinsel. Delay: 11.0 seconds.
[2026-07-29T15:30:44.891+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Oberlaa at Schwedenplatz. Delay: 109.0 seconds.
[2026-07-29T15:30:44.891+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Alaudagasse at Taubstummengasse. Delay: 11.0 seconds.
[2026-07-29T15:30:44.891+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Alaudagasse at Alte Donau. Delay: 9.0 seconds.
[2026-07-29T15:30:44.891+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Kagran. Delay: 108.0 seconds.
[2026-07-29T15:30:44.891+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Altes Landgut. Delay: -32.0 seconds.
[2026-07-29T15:30:44.892+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Neulaa. Delay: 0.0 seconds.
[2026-07-29T15:30:44.892+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Großfeldsiedlung. Delay: -3.0 seconds.
[2026-07-29T15:30:44.892+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Troststraße. Delay: -56.0 seconds.
[2026-07-29T15:30:44.892+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Kagraner Platz. Delay: 59.0 seconds.
[2026-07-29T15:30:44.893+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Alaudagasse. Delay: -49.0 seconds.
[2026-07-29T15:30:44.893+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Rennbahnweg. Delay: 55.0 seconds.
[2026-07-29T15:30:44.893+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Aderklaaer Straße. Delay: 68.0 seconds.
[2026-07-29T15:30:44.893+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Leopoldau at Oberlaa. Delay: 0.0 seconds.
[2026-07-29T15:30:44.893+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Oberlaa at Aderklaaer Straße. Delay: -22.0 seconds.
[2026-07-29T15:30:44.894+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Alaudagasse at Kagraner Platz. Delay: 28.0 seconds.
[2026-07-29T15:30:44.894+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Alaudagasse at Keplerplatz. Delay: 58.0 seconds.
[2026-07-29T15:30:44.894+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Oberlaa at Altes Landgut. Delay: 48.0 seconds.
[2026-07-29T15:30:44.894+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Alaudagasse at Leopoldau. Delay: 0.0 seconds.
[2026-07-29T15:30:44.894+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Oberlaa at Rennbahnweg. Delay: -31.0 seconds.
[2026-07-29T15:30:44.894+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Alaudagasse at Reumannplatz. Delay: 109.0 seconds.
[2026-07-29T15:30:44.895+0000] {subprocess.py:93} INFO -   -> Success: Pulled U1 to Oberlaa at Alaudagasse. Delay: 72.0 seconds.
